NO,REGION,DISTRICT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,MATURE,SEASON,P_ACRE,H_ACRE,Y_ACRE,Y_TIN
210,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Letyezin,Medium,Hot,0,0,0,0
211,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Letyezin,Early,Hot,0,0,0,0
212,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Letyezin,Early,Hot,0,0,0,0
213,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Letyezin,Early,Hot,0,0,0,0
214,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Letyezin,Early,Hot,0,0,0,0
215,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Letyezin,Early,Hot,45,0,0,0
216,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Letyezin,Early,Hot,0,0,0,0
217,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Letyezin,Early,Hot,579,0,0,0
218,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Letyezin,Early,Hot,0,0,0,0
219,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Letyezin,Early,Hot,7190,0,0,0
220,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Letyezin,Early,Hot,5179,0,0,0
221,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Letyezin,Early,Hot,0,0,0,0
222,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Letyezin,Early,Hot,452,0,0,0
223,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Letyezin,Early,Hot,51,0,0,0
224,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Letyezin,Early,Hot,12206,0,0,0
225,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Letyezin,Early,Hot,5192,0,0,0
226,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Letyezin,Early,Hot,13648,0,0,0
227,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Letyezin,Early,Hot,1025,0,0,0
228,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Letyezin,Early,Hot,1550,0,0,0
229,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Letyezin,Early,Hot,0,0,0,0
230,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Letyezin,Early,Hot,0,0,0,0
231,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Letyezin,Early,Hot,123,0,0,0
232,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Letyezin,Early,Hot,673,0,0,0
233,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Letyezin,Early,Hot,406,0,0,0
234,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Letyezin,Early,Hot,1583,0,0,0
235,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Letyezin,Early,Hot,1125,0,0,0
236,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Letyezin,Early,Hot,157,0,0,0
237,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Letyezin,Early,Hot,1939,0,0,0
238,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Letyezin,Early,Hot,0,0,0,0
239,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Letyezin,Early,Hot,0,0,0,0
240,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Letyezin,Early,Hot,1609,0,0,0
241,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Ngasein,Medium,Rain,0,0,0,0
242,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Ngasein,Medium,Rain,0,0,0,0
243,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Ngasein,Medium,Rain,0,0,0,0
