NO,REGION,DISCTRIT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,P_ACRE,H_ACRE,Y_PERCENT,Y_TIN
22,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Emahta,3122,1888,82.72,156183
23,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Emahta,2226,1612,88.17,142122
24,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Emahta,0,0,0,0
25,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Emahta,511,481,86.62,41663
26,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Emahta,1628,1329,86.23,114597
27,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Emahta,578,52,82.33,4281
28,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Emahta,0,0,0,0
29,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Emahta,3439,646,86.85,56106
30,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Emahta,1399,714,124.93,89202
31,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Letyezin,0,0,0,0
32,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Letyezin,0,0,0,0
33,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Letyezin,0,0,0,0
34,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Letyezin,0,0,0,0
35,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Letyezin,45,0,0,0
36,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Letyezin,0,0,0,0
37,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Letyezin,889,310,94.5,29295
38,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Letyezin,0,0,0,0
39,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Letyezin,10690,3500,96.25,336890
40,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Letyezin,19870,14565,83.88,1221661
41,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Letyezin,0,0,0,0
42,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Letyezin,5750,4666,81.83,381808
43,Mandalay,Pyinoolwin,Tatkaung,MMR010012702,2017-2018,Letyezin,2830,2304,72.41,166827
44,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Letyezin,22793,10587,101.17,1071111
45,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Letyezin,6735,1543,99.12,152942
46,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Letyezin,35773,22125,103.62,2292592
47,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Letyezin,8483,7458,95.25,710375
48,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Letyezin,7422,7422,,526575
49,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Letyezin,4494,4494,55.52,249495
50,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Letyezin,36248,36107,67.5,2437240
51,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Letyezin,56657,54883,83.35,4574454
